ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2020-04-30 09:24:23 094m





Relative time;HS4-50(17297).Kladivko;HS4-50(17297).Snimac1;HS4-50(17297).Snimac2
s;V;V;V
-0.04897792;2.5E-5;0.00013;0.0083
-0.0489728;-2.5E-5;0.00014;0.0073
-0.04896768;5.1E-5;0.00012;0.0073
-0.04896256;5.1E-5;6.9E-5;0.0076
-0.04895744;7.6E-5;0.00014;0.0078
-0.04895232;2.5E-5;0.00021;0.0078
-0.0489472;7.6E-5;0.00013;0.0073
-0.04894208;0;0.00015;0.0081
-0.04893696;-2.5E-5;0.00018;0.0083
-0.04893184;-5.1E-5;0.00013;0.0081
-0.04892672;-7.6E-5;4.4E-5;0.0076
-0.0489216;-5.1E-5;0.0001;0.0073
-0.04891648;-2.5E-5;5.7E-5;0.0078
-0.04891136;-2.5E-5;0.00014;0.0078
-0.04890624;0.00013;0.00021;0.0078
-0.04890112;2.5E-5;0.00014;0.0076
-0.048896;7.6E-5;0.00019;0.0081
-0.04889088;0;0.00018;0.0071
-0.04888576;5.1E-5;0.00017;0.0076
-0.04888064;7.6E-5;0.00014;0.0076
-0.04887552;5.1E-5;0.00012;0.0083
-0.0488704;5.1E-5;0.00014;0.0076
-0.04886528;5.1E-5;0.00013;0.0086
-0.04886016;-5.1E-5;0.00021;0.0081
-0.04885504;-2.5E-5;0.00017;0.0078
-0.04884992;-2.5E-5;0.00021;0.0078
-0.0488448;0;0.00018;0.0078
-0.04883968;5.1E-5;5.7E-5;0.0076
-0.04883456;0.0001;-2.5E-5;0.0083
-0.04882944;0;-3.1E-5;0.0081
-0.04882432;-5.1E-5;3.8E-5;0.0083
-0.0488192;0;6.3E-5;0.0076
-0.04881408;-2.5E-5;8.2E-5;0.0076
-0.04880896;-2.5E-5;9.4E-5;0.0076
-0.04880384;-7.6E-5;8.2E-5;0.0081
-0.04879872;-2.5E-5;0.0001;0.0078
-0.0487936;2.5E-5;0.00014;0.0076
-0.04878848;0;0.00012;0.0078
-0.04878336;-5.1E-5;5.7E-5;0.0071
-0.04877824;0;8.8E-5;0.0081
-0.04877312;2.5E-5;0.00014;0.0078
-0.048768;0;0.00012;0.0086
-0.04876288;7.6E-5;8.2E-5;0.0081
-0.04875776;0;0.00012;0.0078
-0.04875264;-2.5E-5;9.4E-5;0.0081
-0.04874752;-2.5E-5;8.8E-5;0.0083
-0.0487424;0;0.00013;0.0081
-0.04873728;2.5E-5;0.00014;0.0081
-0.04873216;5.1E-5;9.4E-5;0.0086
